"county_fips_code","year","area_deprivation_index_percent"
"13141",2019,93
"13143",2020,69
"13143",2018,79
"13145",2019,9
"13147",2019,72
"13147",2018,76
"13147",2020,72
"13149",2019,77
"13151",2019,17
"13155",2019,87
"13155",2018,87
"13155",2020,91
"13157",2019,36
"13159",2019,83
"13161",2018,93
"13161",2020,94
"13163",2019,97
"13163",2018,96
"13165",2019,95
"13165",2018,93
"13169",2018,31
"13169",2019,33
"13171",2018,70
"13171",2020,71
"13173",2018,92
"13173",2020,89
"13175",2020,87
"13177",2018,14
"13177",2019,18
"13179",2020,75
"13179",2019,69
"13179",2018,68
"13181",2018,76
"13183",2018,63
"13185",2019,81
"13185",2018,79
"13187",2019,55
"13187",2020,48
"13189",2020,88
"13189",2019,84
"13193",2018,99
"13193",2020,98
"13193",2019,99
"13195",2019,70
"13195",2020,65
"13195",2018,65
"13197",2019,83
"13199",2020,88
"13205",2020,95
"13205",2018,95
"13207",2019,41
"13209",2019,76
"13209",2020,81
"13209",2018,81
"13211",2020,27
"13213",2020,88
"13217",2020,54
"13219",2018,4
"13219",2020,3
"13221",2019,66
"13223",2020,13
"13225",2019,70
"13225",2018,73
"13227",2018,19
"13229",2020,76
"13231",2020,24
"13231",2018,26
"13233",2019,86
"13233",2018,87
"13233",2020,83
"13235",2018,87
"13235",2020,87
"13239",2018,96
"13239",2019,95
"13241",2018,61
"13241",2020,69
"13243",2018,98
"13243",2020,99
"13245",2018,84
"13249",2018,85
"13251",2018,88
"13251",2019,86
"13253",2020,84
"13253",2018,77
"13255",2019,76
"13255",2018,80
"13255",2020,78
"13257",2018,77
"13259",2020,98
"13261",2018,96
"13261",2020,93
"13263",2020,87
"13265",2020,97
"13265",2018,98
"13267",2019,90
"13267",2018,90
"13269",2019,97
"13269",2020,95
"13271",2019,99
"13271",2020,99
"13273",2020,97
"13273",2019,97
"13273",2018,97
"13277",2018,91
"13279",2020,94
"13279",2019,94
"13281",2018,42
"13283",2019,86
"13285",2019,78
"13287",2018,92
"13287",2019,93
"13289",2020,93
"13289",2018,95
"13291",2018,36
"13293",2020,88
"13293",2018,88
"13295",2020,70
"13297",2019,34
"13299",2018,90
"13299",2019,86
"13301",2018,96
"13301",2019,95
"13305",2019,87
"13307",2020,89
"13309",2020,98
"13311",2020,37
"13313",2020,89
"13313",2019,90
"13315",2018,88
"13315",2019,88
"13315",2020,83
"13319",2019,82
"13321",2018,78
"19001",2019,27
"19003",2018,26
"19003",2019,29
"19003",2020,27
"19007",2019,56
"19007",2018,50
"19007",2020,58
"19011",2020,14
"19013",2020,38
"19013",2018,34
"19017",2018,6
"19019",2019,19
"19019",2018,21
"19021",2018,69
"19023",2020,20
"19023",2018,18
"19023",2019,19
"19025",2020,39
"19025",2019,45
"19025",2018,42
"19027",2018,21
"19027",2019,24
"19029",2020,43
"19029",2018,46
"19031",2020,7
"19031",2019,7
"19033",2019,26
"19033",2020,29
"19037",2020,18
"19039",2018,52
"19039",2020,47
"19039",2019,48
"19041",2019,31
"19041",2018,26
"19043",2019,35
"19043",2018,35
"19045",2020,37
"19045",2019,35
"19047",2018,75
"19049",2018,2
"19049",2020,2
"19051",2020,73
"19051",2018,74
"19051",2019,69
"19053",2019,81
"19053",2020,74
"19053",2018,80
"19055",2020,17
"19055",2019,19
"19057",2019,46
"19059",2019,8
"19061",2018,17
"19061",2020,19
"19063",2018,42
"19065",2018,41
"19067",2020,42
"19071",2020,32
"19071",2018,27
"19073",2019,29
"19075",2019,9
"19077",2020,21
"19079",2018,26
"19081",2020,19
"19081",2018,18
"19081",2019,19
"19083",2018,22
"19083",2019,22
"19085",2018,22
"19087",2020,38
"19091",2020,31
"19091",2019,33
"19091",2018,31
"19093",2020,26
"19095",2020,15
"19097",2020,34
"19101",2020,45
"19101",2018,32
"19103",2019,12
"19103",2018,12
"19105",2020,20
"19107",2019,31
"19107",2018,38
"19109",2019,16
"19113",2020,10
"19113",2018,9
"19113",2019,10
"19115",2018,53
"19115",2020,59
"19117",2019,25
"19119",2018,11
"19119",2019,11
"19123",2019,42
"19123",2020,47
"19123",2018,42
"19125",2020,22
"19127",2020,55
"19129",2019,10
"19131",2019,28
"19133",2019,44
"19133",2020,47
"19135",2018,43
"19135",2019,41
"19139",2019,35
"19141",2019,30
"19141",2020,37
"19141",2018,28
"19143",2019,40
